characters_araber;Araber
characters_archaeologe;Archaeologe
characters_arzt;Arzt
characters_butler;Butler
characters_ermittler;Ermittler
characters_frau;Frau
characters_geiger;Geiger
characters_junge;Junge
characters_kapitaen;Kapitaen
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schriftstellerin;Schriftstellerin
characters_wachmann;Wachmann
texts_a07__kabine_ermittler_bettzeug_mo_ex_1;Examiner la literie
spokentexts_a07__kabine_ermittler_bettzeug_ex_1_st_1;Neatly folded and unused.
spokentexts_a07__kabine_ermittler_bettzeug_ex_1_st_2;Legrand hasn't slept since we cast off - nor on the train.
texts_a07_kabine_ermittler_alarmmelder_mo_ex_1;Examine the alarm
spokentexts_a07_kabine_baronin_alarmmelder_ex_1_st_1;That must be one of the alarms...
spokentexts_a07_kabine_baronin_alarmmelder_ex_1_st_2;Another alarm...
spokentexts_a07_kabine_ermittler_alarmmelder_ex_1_st_3;It was tripped at some point, but there's no way to determine when.
texts_a07_kabine_ermittler_ausgang_mo_leave_1;Go outside
sequences_a07_kabine_ermittler_ausgang_leave_1#1;[Ohi opens the door, goes outside]
texts_a07_kabine_ermittler_badezimmer_mo_ex_1__2;Search the bathroom
spokentexts_a07_kabine_ermittler_badezimmer_ex_1_st_1_direction;sniffle
spokentexts_a07_kabine_ermittler_badezimmer_ex_1_st_1;*sniff*
spokentexts_a07_kabine_ermittler_badezimmer_ex_1_st_2;Smells like chemicals. Legrand probably developed the photos in here.
spokentexts_a07_kabine_ermittler_badezimmer_ex_2_st_1;There are still fragments of the syringe that the inspector broke in the sink...
spokentexts_a07_kabine_ermittler_badezimmer_ex_2_st_2;Why is he pushing himself like this? Even if he catches the Raven - is it worth ruining his career and his health?
texts_a07_kabine_ermittler_baronin_patrone_mo_ex_1;Examine the sachet
texts_a07_kabine_ermittler_baronin_patrone_mo_inventar_2-4;Luger bullet
texts_a07_kabine_ermittler_baronin_patrone_mo_take_1;Take the bullet
spokentexts_a07_kabine_ermittler_baronin_patrone_ex_1_st_1;Aha! That's the bullet the doctor removed from the baroness' corpse.
sequences_a07_kabine_ermittler_baronin_patrone_ex_1#2;[Ohi picks up the sachet, pockets it.]
spokentexts_a07_kabine_ermittler_baronin_patrone_ex_2_st_1;The doctor removed this bullet from the baroness' heart. According to Legrand it's from a 7.65 mm Luger cartridge.
spokentexts_a07_kabine_ermittler_baronin_patrone_ex_3_st_1;The bullet that the doctor removed from the baroness' heart matches the one from the cargo hold.
spokentexts_a07_frachtraum_patrone_ex_2_st_2;So the murderer also fired his gun in the cargo hold... But why?
spokentexts_a07_frachtraum_patrone_ex_3_st_1;The murderer recorded the shot in the cargo hold on an audiotape!
spokentexts_a07_frachtraum_patrone_ex_3_st_2;That was the shot we heard last night!
sequences_a07_kabine_ermittler_baronin_patrone_take_1#2;[Ohi takes cartridge from the desk, pockets it.]
texts_a07_kabine_ermittler_belichtungsapparat_mo_ex_1;Examine the enlarger
spokentexts_a07_kabine_ermittler_belichtungsapparat_ex_1_st_1;Legrand must have taken and developed the photos himself. He even made copies and enlargements.
spokentexts_a07_kabine_ermittler_belichtungsapparat_ex_1_st_2;He seems to be prepared for everything, with access to more resources than a normal detective.
texts_a07_kabine_ermittler_briefchen_mo_inventar_1;Sachet
texts_a07_kabine_ermittler_briefchen_mo_inventar_2;Down feathers
spokentexts_a07_kabine_ermittler_briefchen_ex_1_st_1;These little sachets contain the evidence we've collected - at least, the evidence that fits in little sachets!
spokentexts_a07_kabine_ermittler_briefchen_ex_2_st_1;The tip of one of the down feathers I found under the baroness's bed is singed.
spokentexts_a07_kabine_ermittler_briefchen_ex_3_st_1;Some of the down feathers I found in the vase are singed.
spokentexts_a07_kabine_ermittler_briefchen_ex_4_st_1;There were singed feathers under the baroness' bed and in a vase next to the door. That can't be a coincidence!
texts_a07_kabine_ermittler_forensikkoffer_mo_ex_1-4;Examine the forensics box
texts_a07_kabine_ermittler_forensikkoffer_mo_used_mit_serviette_wattestaebchen;Analyze the blood sample
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_1_st_1;A masterpiece!
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_1_st_2;Forensic teams use kits like these.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_1_st_3;Not in Switzerland, of course. But in Paris, London, New York... In the wide world of crime, they're placing more emphasis on the correct preservation of evidence.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_1_st_5;It's a small lab used to conduct simple analyses onsite.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_2_st_1;All right. What have we got here?
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_2_st_2;There must be something in it for analyzing blood...
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_4_st_1;My knowledge of chemistry isn't good enough to find out what the red liquid is.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_4_st_2;But it's not blood, that's for sure.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_4_st_3;If the blood on the blanket and on the sheets is artificial as well, Doctor Gebhardt will have some explaining to do!
sequences_a07_kabine_ermittler_forensikkoffer_used_mit_serviette_oder_wattestaebchen#1;[It switches to the close-up view of the forensic box.]
texts_a07_kabine_ermittler_foto_bett_mo_ex_1;Look at the picture
spokentexts_a07_kabine_ermittler_foto_bett_ex_1_st_1;Hmm. Yes. The bed, the blood spot...
spokentexts_a07_kabine_ermittler_foto_bett_ex_1_st_2;The spot on the sheet is much bigger than the one on the mattress.
spokentexts_a07_kabine_ermittler_foto_bett_ex_1_st_3;There's blood on the blanket as well. A lot of blood, I'd say.
spokentexts_a07_kabine_ermittler_foto_bett_ex_2_st_1;The blanket and the sheet are gone. I guess they're in the medical center.
texts_a07_kabine_ermittler_foto_gesicht_mo_ex_1;Look at the photo
spokentexts_a07_kabine_ermittler_foto_gesicht_ex_1_st_1;Shot in her sleep.
spokentexts_a07_kabine_ermittler_foto_gesicht_ex_1_st_2;She didn't feel a thing. She went to sleep and never woke up.
texts_a07_kabine_ermittler_foto_kabine_mo_ex_1;Look at the photo
spokentexts_a07_kabine_ermittler_foto_kabine_ex_1_st_1;This photo provides an overview of the crime scene.
texts_a07_kabine_ermittler_foto_leiche_mo_ex_1;Look at the picture
spokentexts_a07_kabine_ermittler_foto_leiche_ex_1_st_1;Yes, that's how we found her yesterday...
spokentexts_a07_kabine_ermittler_foto_leiche_ex_1_st_2;...I think. I wasn't really myself at the time.
spokentexts_a07_kabine_ermittler_foto_leiche_ex_2_st_1;Hmm. No. Nothing suspicious.
texts_a07_kabine_ermittler_fotos_ausgang_mo_leave;Finish the investigation
sequences_a07_kabine_ermittler_fotos_ausgang_leave_1#1;[With a click you return to the cabin view]
texts_a07_kabine_ermittler_fotos_mo_ex_1__2;Look at the photos
spokentexts_a07_kabine_ermittler_fotos_ex_1_st_1;Legrand must have taken them yesterday at the crime scene...
texts_a07_kabine_ermittler_grundriss_schiff_mo_ex_1;Examine the layout of the ship
spokentexts_a07_kabine_ermittler_grundriss_schiff_ex_1_st_1;A rough diagram of the ship. Legrand marked the baroness' cabin.
spokentexts_a07_kabine_ermittler_grundriss_schiff_ex_1_st_2;Seems like he didn't turn up anything else of note.
texts_a07_kabine_ermittler_mikroskop_mo_ex_1-3__5;Examine the microscope
texts_a07_kabine_ermittler_mikroskop_mo_ex_4;Look through the microscope
texts_a07_kabine_ermittler_mikroskop_mo_used_mit_patrone;Analyze the bullet
texts_a07_kabine_ermittler_mikroskop_mo_used_mit_daunenfedern;Analyze the down feathers with the microscope.
texts_a07_kabine_ermittler_mikroskop_mo_used_mit_kissenbezug;Analyze the pillowcase with the microscope.
texts_a07_kabine_ermittler_mikroskop_mo_used_mit_serviette;Analyze the blood sample with the microscope.
texts_a07_kabine_ermittler_mikroskop_mo_used_mit_serviette_wattestaebchen;Analyze the blood sample with the microscope.
spokentexts_a07_kabine_ermittler_mikroskop_used_mit_daunenfedern_st_1;The down feathers are obviously singed.
spokentexts_a07_kabine_ermittler_mikroskop_used_mit_daunenfedern_st_2;I can't find out anything more with the microscope either.
spokentexts_a07_kabine_ermittler_mikroskop_used_mit_kissenbezug_st_1;I can't put the pillowcase under the microscope.
