characters_araber;Araber
characters_archaeologe;Archaeologe
characters_arzt;Arzt
characters_butler;Butler
characters_ermittler;Ermittler
characters_frau;Frau
characters_geiger;Geiger
characters_junge;Junge
characters_kapitaen;Kapitaen
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schriftstellerin;Schriftstellerin
characters_wachmann;Wachmann
texts_a07__kabine_ermittler_bettzeug_mo_ex_1;Examiner la literie
spokentexts_a07__kabine_ermittler_bettzeug_ex_1_st_1;Parfaitement pliée et inutilisée.
spokentexts_a07__kabine_ermittler_bettzeug_ex_1_st_2;Legrand n' apas dormi depuis notre départ, ni à bord du train.
texts_a07_kabine_ermittler_alarmmelder_mo_ex_1;Examiner l'alarme
spokentexts_a07_kabine_baronin_alarmmelder_ex_1_st_1;Voilà une des alarmes...
spokentexts_a07_kabine_baronin_alarmmelder_ex_1_st_2;Une autre alarme...
spokentexts_a07_kabine_ermittler_alarmmelder_ex_1_st_3;Elle a été déjà déclenchée auparavant, mais impossible de savoir quand.
texts_a07_kabine_ermittler_ausgang_mo_leave_1;Sortir
sequences_a07_kabine_ermittler_ausgang_leave_1#1;[Ohi opens the door, goes outside]
texts_a07_kabine_ermittler_badezimmer_mo_ex_1__2;Fouiller la salle de bain
spokentexts_a07_kabine_ermittler_badezimmer_ex_1_st_1_direction;sniffle
spokentexts_a07_kabine_ermittler_badezimmer_ex_1_st_1;*snif*
spokentexts_a07_kabine_ermittler_badezimmer_ex_1_st_2;Ça sent les produits chimiques. Legrand doit surement développer ses photos ici.
spokentexts_a07_kabine_ermittler_badezimmer_ex_2_st_1;Il reste des morceaux de la seringue que Legrand a brisé dans l'évier...
spokentexts_a07_kabine_ermittler_badezimmer_ex_2_st_2;Pourquoi en fait-il autant ? Même s'il finit par attraper le Corbeau, cela vaut-il la peine de ruiner sa santé et sa carrière ?
texts_a07_kabine_ermittler_baronin_patrone_mo_ex_1;Examiner le sachet
texts_a07_kabine_ermittler_baronin_patrone_mo_inventar_2-4;Balle de Luger
texts_a07_kabine_ermittler_baronin_patrone_mo_take_1;Prendre la balle
spokentexts_a07_kabine_ermittler_baronin_patrone_ex_1_st_1;Aha ! Voilà la balle que le docteur a extrait du corps de la baronne.
sequences_a07_kabine_ermittler_baronin_patrone_ex_1#2;[Ohi picks up the sachet, pockets it.]
spokentexts_a07_kabine_ermittler_baronin_patrone_ex_2_st_1;Le docteur a extrait cette balle du coeur de la baronne. D'après Legrand elle provient d'une cartouche de Luger 7,65 mm.
spokentexts_a07_kabine_ermittler_baronin_patrone_ex_3_st_1;La balle que le docteur a extrait du coeur de la baronne est identique à celle de la soute.
spokentexts_a07_frachtraum_patrone_ex_2_st_2;Le meurtrier a donc aussi tiré dans la soute... Mais pourquoi ?
spokentexts_a07_frachtraum_patrone_ex_3_st_1;Le meurtrier a enregistré le coup de feu dans la soute sur un bande audio.
spokentexts_a07_frachtraum_patrone_ex_3_st_2;C'est ce coup de feu que nous avons entendu hier soir !
sequences_a07_kabine_ermittler_baronin_patrone_take_1#2;[Ohi takes cartridge from the desk, pockets it.]
texts_a07_kabine_ermittler_belichtungsapparat_mo_ex_1;Examiner la loupe
spokentexts_a07_kabine_ermittler_belichtungsapparat_ex_1_st_1;Legrand a dû prendre et développer lui même les photos. Il a même fait des copies et des agrandissements.
spokentexts_a07_kabine_ermittler_belichtungsapparat_ex_1_st_2;Il semble paré à toute éventualité et avoir accès à plus de ressources qu'un policier normal.
texts_a07_kabine_ermittler_briefchen_mo_inventar_1;Sachet
texts_a07_kabine_ermittler_briefchen_mo_inventar_2;Plumes de duvet
spokentexts_a07_kabine_ermittler_briefchen_ex_1_st_1;Ces petits sachets contiennent les indices que j'ai récupéré, en tout cas ceux qui rentrent dans des petits sachets !
spokentexts_a07_kabine_ermittler_briefchen_ex_2_st_1;L'extrémité d'une des plumes de duvet que j'ai trouvé sous le lit de la baronne est brûlée.
spokentexts_a07_kabine_ermittler_briefchen_ex_3_st_1;Certaines plumes de duvet que j'ai trouvé dans le vase sont brûlées.
spokentexts_a07_kabine_ermittler_briefchen_ex_4_st_1;Il y avait des plumes brûlées sous le lit de la baronne et dans un save près de la porte. Ce n'est pas une coïncidence !
texts_a07_kabine_ermittler_forensikkoffer_mo_ex_1-4;Examiner la boîte d'instruments médico-légaux
texts_a07_kabine_ermittler_forensikkoffer_mo_used_mit_serviette_wattestaebchen;Analyser l'échantillon de sang
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_1_st_1;Une oeuvre d'art !
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_1_st_2;Les équipes médico-légales utilisent des équipements similaires.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_1_st_3;Pas en Suisse évidemment. Mais à Paris, Londres, New York... Face au monde du crime, préserver correctement les indices est de plus en plus important.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_1_st_5;C'est un petit laboratoire pour effectuer des analyses rapides sur le terrain.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_2_st_1;Très bien. Qu'avons nous là ?
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_2_st_2;Il doit bien y avoir quelque chose pour analyser du sang ici....
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_4_st_1;Mes connaissances en chimie sont trop limitées pour déterminer la fonction du liquide rouge.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_4_st_2;Mais ce n'est pas du sang, ça c'est sûr.
spokentexts_a07_kabine_ermittler_forensikkoffer_ex_4_st_3;Si le sang sur le couverture et les draps est aussi artificiel le Docteur Gebhardt va devoir s'expliquer !
sequences_a07_kabine_ermittler_forensikkoffer_used_mit_serviette_oder_wattestaebchen#1;[It switches to the close-up view of the forensic box.]
texts_a07_kabine_ermittler_foto_bett_mo_ex_1;Regarder l'image
spokentexts_a07_kabine_ermittler_foto_bett_ex_1_st_1;Hmm. Oui. Le lit, la tâche de sang...
spokentexts_a07_kabine_ermittler_foto_bett_ex_1_st_2;La tâche sur le drap est plus grosse que cella sur le matelas.
spokentexts_a07_kabine_ermittler_foto_bett_ex_1_st_3;Il y a aussi du sang sur la couverture. Pas mal de sang même.
spokentexts_a07_kabine_ermittler_foto_bett_ex_2_st_1;Aucune trace de la couverture et des draps. Je suppose qu'ils sont à l'infirmerie.
texts_a07_kabine_ermittler_foto_gesicht_mo_ex_1;Regarder la photo
spokentexts_a07_kabine_ermittler_foto_gesicht_ex_1_st_1;Tuée dans son sommeil.
spokentexts_a07_kabine_ermittler_foto_gesicht_ex_1_st_2;Elle n'a rien senti. Elle s'est endormi et ne s'est jamais réveillée.
texts_a07_kabine_ermittler_foto_kabine_mo_ex_1;Regarder la photo
spokentexts_a07_kabine_ermittler_foto_kabine_ex_1_st_1;Cette photo couvre toute la scène du crime.
texts_a07_kabine_ermittler_foto_leiche_mo_ex_1;Regarder l'image
spokentexts_a07_kabine_ermittler_foto_leiche_ex_1_st_1;Oui, On l'a trouvé ainsi hier...
spokentexts_a07_kabine_ermittler_foto_leiche_ex_1_st_2;...Je crois. Je n'étais pas vraiment dans mon assiette à ce moment là.
spokentexts_a07_kabine_ermittler_foto_leiche_ex_2_st_1;Hmm. Non. Rien de suspect.
texts_a07_kabine_ermittler_fotos_ausgang_mo_leave;Terminer l'enquête
sequences_a07_kabine_ermittler_fotos_ausgang_leave_1#1;[With a click you return to the cabin view]
texts_a07_kabine_ermittler_fotos_mo_ex_1__2;Regarder les photos
spokentexts_a07_kabine_ermittler_fotos_ex_1_st_1;Legrand a dû les prendre hier sur la scène du crime...
texts_a07_kabine_ermittler_grundriss_schiff_mo_ex_1;Examiner le plan du bateau
spokentexts_a07_kabine_ermittler_grundriss_schiff_ex_1_st_1;Une esquisse du navire. Legrand a marqué la cabine de la baronne.
spokentexts_a07_kabine_ermittler_grundriss_schiff_ex_1_st_2;Apparemment il n'a rien remarqué d'autre.
texts_a07_kabine_ermittler_mikroskop_mo_ex_1-3__5;Examiner le microscope
texts_a07_kabine_ermittler_mikroskop_mo_ex_4;Regarder à travers le microscope
texts_a07_kabine_ermittler_mikroskop_mo_used_mit_patrone;Analyser la balle
texts_a07_kabine_ermittler_mikroskop_mo_used_mit_daunenfedern;Analyser les plumes de duvet avec le microscope.
