characters_araber;Araber
characters_arzt;Arzt
characters_baronin;Baronin
characters_ermittler;Ermittler
characters_kapitaen;Kapitaen
characters_ohi;Ohi
characters_unbekannter;Unbekannter
characters_wachmann;Wachmann
texts__top_a06_kapitaen_niedergeschlagen_tseq_title;Je me suis fait attaqué
spokentexts__top_a06_kapitaen_niedergeschlagen_tseq_st_1;Je pense que vous avez un passager clandestin à bord. J'ai été attaqué.
spokentexts__top_a06_kapitaen_niedergeschlagen_tseq_st_2;C'est intolérable ! L'équipage va fouillé chaque coin et recoin du navire!
spokentexts__top_a06_kapitaen_niedergeschlagen_tseq_st_3;Et bien sûr, M. Zellner, vous êtes cordialement invité à voyager comme notre invité spécial !
spokentexts__top_a06_kapitaen_niedergeschlagen_tseq_st_4_direction;Confirming played grateful
spokentexts__top_a06_kapitaen_niedergeschlagen_tseq_st_4;Content de savoir qu'au moins un homme ne veut pas me jeter par-dessus bord.
texts__top_a06_kapitaen_warum_wurde_ich_nicht_gesucht_tseq_title;Pourquoi personne ne me recherche ?
spokentexts__top_a06_kapitaen_warum_wurde_ich_nicht_gesucht_tseq_st_1;Pourquoi personne n'est venu à ma recherche ?
spokentexts__top_a06_kapitaen_warum_wurde_ich_nicht_gesucht_tseq_st_2;Personne n'a pas remarqué que je ne suis pas revenu de la soute ?
spokentexts__top_a06_kapitaen_warum_wurde_ich_nicht_gesucht_tseq_st_5;Nous vous avons recherché, mais nous ne vous trouvions pas.
spokentexts__top_a06_kapitaen_warum_wurde_ich_nicht_gesucht_tseq_st_6;Qui était censé chercher dans la soute ?
spokentexts__top_a06_kapitaen_warum_wurde_ich_nicht_gesucht_tseq_st_7;L'Officier Oliver. Je vais avoir une discussion avec lui à ce sujet plus tard.
spokentexts__top_a06_kapitaen_warum_wurde_ich_nicht_gesucht_tseq_st_8;Je l'espère bien.
texts__top_a06_kapitaen_wo_sind_wir_tseq_title;Où sommes-nous ?
spokentexts__top_a06_kapitaen_wo_sind_wir_tseq_st_1;Où sommes-nous et quelle heure est-il ? J'ai dû rester là-dedans des siècles.
spokentexts__top_a06_kapitaen_wo_sind_wir_tseq_st_6;il est 20 heures passé.
spokentexts__top_a06_kapitaen_wo_sind_wir_tseq_st_7;Vous venez de rater le dîner.
