characters_araber;Araber
characters_junge;Junge
characters_ohi;Ohi
texts__mo_use_3;Utiliser le pistolet en bois avec l'eau du robinet
texts_a03_kabine_archaeologe_waschbecken_mo_ex_1;Examiner le lavabo
texts_a03_kabine_archaeologe_waschbecken_mo_use_1__2;Ouvrir le robinet
texts_a03_kabine_archaeologe_waschbecken_mo_used_mit_handtuch_1__2;Hold the towel under the running water
spokentexts__use_mit_holzpistole_st_1;Cela ne fonctionnerait que si c'était un pistolet à eau.
spokentexts_a03_kabine_archaeologe_waschbecken_ex_1_st_1;Quand il sont riche et puissant, ils voyagent dans avec classe.
sequences_a03_kabine_archaeologe_waschbecken_use_1#1;[Ohi turns on the water tap, allowing the water to run shorts, the tap again.]
spokentexts_a03_kabine_archaeologe_waschbecken_use_1_st_1;Les réservoirs ne semblent pas être endommagés. L'eau coule toujours.
sequences_a03_kabine_archaeologe_waschbecken_use_2#1;[Öhi turns the water on, makes it run briefly, then put it off again.]
sequences_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1#2;[Ohi turns on the water tap, then takes the towel from his shoulders and keeps it under the water.]
spokentexts_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1_st_1;Elle absorbe l'eau froide.
sequences_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1#4;[Ohi puts the wet towel around his neck, just shudders and turns the water out.]
spokentexts_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1_st_2_direction;cold, uncomfortable
spokentexts_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1_st_2;Brrr.
sequences_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1#6;[From now on, the towel that Ohi has be around his neck, wet.]
spokentexts_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_2_st_1;Non, la serviette est déjà assez mouillée.
texts_a03_kabine_archaeologe_eckschrank_mo_ex_2;Fouiller le placard d'angle
texts_a03_kabine_archaeologe_eckschrank_mo_use_1__3;Ouvrir le placard d'angle
spokentexts_a03_kabine_archaeologe_eckschrank_ex_1_st_1;Ces compartiments sont comme de petites chambres d'hôtel. Vous pourriez y passer des jours voire des semaines.
spokentexts_a03_kabine_archaeologe_eckschrank_ex_2_st_1;Il y a un petit évier sous le miroir. En dessous se trouve un petit placard où je m'attendais à trouver une serviette. Peine perdue, je le crains.
sequences_a03_kabine_archaeologe_eckschrank_use_1#1;[Ohi opens the corner cupboard.]
texts_a03_kabine_archaeologe_flaschen_mo_ex_1;Boire un verre de gin
spokentexts_a03_kabine_archaeologe_flaschen_ex_1_st_1_direction;sarcastic
spokentexts_a03_kabine_archaeologe_flaschen_ex_1_st_1;Ma situation n'est pas SI désespérée.
texts_a03_kabine_archaeologe_koffer_mo_ex_1;Examiner la valise
texts_a03_kabine_archaeologe_koffer_mo_use_1;Fouiller la valise
spokentexts_a03_kabine_archaeologe_koffer_ex_1_st_1;La valise du professeur Lucien.
spokentexts_a03_kabine_archaeologe_koffer_ex_1_st_2;Contrairement au sac en cuir, il l'a laissé derrière quand il a fui le train avec les autres passagers.
spokentexts_a03_kabine_archaeologe_koffer_use_1_st_1;Je ne pense pas qu'il y ait quelque chose d'intéressant dedans. Peu importe ce que le professeur me cache, c'est dans son sac de cuir.
texts_a03_kabine_archaeologe_spiegel_mo_ex_1;Regarder dans le miroir
sequences_a03_kabine_archaeologe_spiegel_ex_1#1;[Ohi looks in the mirror.]
spokentexts_a03_kabine_archaeologe_spiegel_ex_1_st_1;Pourquoi es-tu entré là-dedans ?
spokentexts_a03_kabine_archaeologe_spiegel_ex_1_st_2;Tu ne pouvais pas juste laisser faire? 
spokentexts_a03_kabine_archaeologe_spiegel_ex_1_st_3;Mais non, bien sûr que non. Et maintenant tu es ici. Sur un train fou dans les Alpes, responsable de la vie d'un enfant qui va être condamnée sans toi.
spokentexts_a03_kabine_archaeologe_spiegel_ex_1_st_4;Qu'est-ce que tu attends, hein ? Il est temps de sortir de cette situation !
texts_a03_kabine_archaeologe_tuer_zum_grossraumwagen_mo_leave_1;Sortir
sequences_a03_kabine_archaeologe_leave_1#1;[Ohi is leaving the cabin without the ax]
sequences_a03_kabine_archaeologe_leave_2#1;[Ohi takes the Axe and leaves the cabin]
